# Next line: [dim],[# integration points],[years],[dt],[system radius],[planet count],[beta]
3,16000,20,0.00125,10,3,2
# Next lines: [planet ID],[planet name]
0,Sun
1,Earth
2,Jupiter
# Next lines: [planet ID]=[x],[y],[z]
0=-0.00363107,0.00747755,1.84102e-05
1=-0.605718,0.78593,-3.17301e-05
2=0.725396,-5.15889,0.00516603
0=-0.00363107,0.00747755,1.84102e-05
1=-0.612034,0.781063,-3.16174e-05
2=0.728763,-5.15825,0.00508803
0=-0.00363107,0.00747755,1.84102e-05
1=-0.618311,0.776146,-3.15014e-05
2=0.732129,-5.1576,0.00501002
0=-0.00363107,0.00747754,1.84102e-05
1=-0.624548,0.771178,-3.13822e-05
2=0.735495,-5.15695,0.00493202
0=-0.00363107,0.00747754,1.84102e-05
1=-0.630745,0.766162,-3.12597e-05
2=0.73886,-5.1563,0.00485401
0=-0.00363107,0.00747754,1.84102e-05
1=-0.636901,0.761096,-3.1134e-05
2=0.742225,-5.15564,0.004776
0=-0.00363107,0.00747754,1.84102e-05
1=-0.643017,0.755982,-3.10052e-05
2=0.74559,-5.15499,0.00469799
0=-0.00363107,0.00747754,1.84102e-05
1=-0.649091,0.750819,-3.08731e-05
2=0.748955,-5.15433,0.00461997
0=-0.00363107,0.00747754,1.84102e-05
1=-0.655123,0.745608,-3.07379e-05
2=0.752319,-5.15367,0.00454196
0=-0.00363107,0.00747754,1.84102e-05
1=-0.661113,0.740349,-3.05994e-05
2=0.755683,-5.153,0.00446394
0=-0.00363107,0.00747754,1.84102e-05
1=-0.667061,0.735043,-3.04578e-05
2=0.759047,-5.15234,0.00438592
0=-0.00363107,0.00747754,1.84102e-05
1=-0.672966,0.72969,-3.03131e-05
2=0.76241,-5.15167,0.0043079
0=-0.00363107,0.00747754,1.84102e-05
1=-0.678828,0.724291,-3.01652e-05
2=0.765773,-5.151,0.00422987
0=-0.00363107,0.00747753,1.84102e-05
1=-0.684646,0.718845,-3.00141e-05
2=0.769135,-5.15033,0.00415185
0=-0.00363107,0.00747753,1.84102e-05
1=-0.69042,0.713353,-2.986e-05
2=0.772498,-5.14966,0.00407382
0=-0.00363107,0.00747753,1.84102e-05
1=-0.696149,0.707815,-2.97027e-05
2=0.775859,-5.14898,0.00399579
0=-0.00363107,0.00747753,1.84102e-05
1=-0.701834,0.702233,-2.95423e-05
2=0.779221,-5.1483,0.00391776
0=-0.00363107,0.00747753,1.84102e-05
1=-0.707474,0.696605,-2.93788e-05
2=0.782582,-5.14762,0.00383973
0=-0.00363107,0.00747753,1.84102e-05
1=-0.713068,0.690933,-2.92122e-05
2=0.785943,-5.14694,0.00376169
0=-0.00363107,0.00747753,1.84102e-05
1=-0.718617,0.685217,-2.90425e-05
2=0.789304,-5.14625,0.00368366
0=-0.00363107,0.00747753,1.84102e-05
1=-0.72412,0.679457,-2.88698e-05
2=0.792664,-5.14556,0.00360562
0=-0.00363107,0.00747753,1.84102e-05
1=-0.729576,0.673654,-2.8694e-05
2=0.796024,-5.14487,0.00352758
0=-0.00363107,0.00747753,1.84102e-05
1=-0.734985,0.667808,-2.85152e-05
2=0.799383,-5.14418,0.00344954
0=-0.00363107,0.00747752,1.84102e-05
1=-0.740347,0.661919,-2.83334e-05
2=0.802742,-5.14349,0.0033715
0=-0.00363107,0.00747752,1.84102e-05
1=-0.745662,0.655988,-2.81486e-05
2=0.806101,-5.14279,0.00329346
0=-0.00363107,0.00747752,1.84102e-05
1=-0.750929,0.650015,-2.79607e-05
2=0.809459,-5.14209,0.00321541
0=-0.00363107,0.00747752,1.84102e-05
1=-0.756147,0.644001,-2.77699e-05
2=0.812818,-5.14139,0.00313737
0=-0.00363107,0.00747752,1.84102e-05
1=-0.761317,0.637946,-2.75761e-05
2=0.816175,-5.14069,0.00305932
0=-0.00363107,0.00747752,1.84102e-05
1=-0.766439,0.63185,-2.73793e-05
2=0.819533,-5.13998,0.00298127
0=-0.00363107,0.00747752,1.84102e-05
1=-0.771511,0.625714,-2.71795e-05
2=0.82289,-5.13927,0.00290322
0=-0.00363107,0.00747752,1.84102e-05
1=-0.776534,0.619539,-2.69769e-05
2=0.826246,-5.13856,0.00282517
0=-0.00363107,0.00747752,1.84102e-05
1=-0.781507,0.613324,-2.67713e-05
2=0.829603,-5.13785,0.00274711
0=-0.00363107,0.00747752,1.84102e-05
1=-0.78643,0.607069,-2.65628e-05
2=0.832959,-5.13714,0.00266906
0=-0.00363107,0.00747751,1.84102e-05
1=-0.791302,0.600777,-2.63514e-05
2=0.836314,-5.13642,0.00259101
0=-0.00363107,0.00747751,1.84102e-05
1=-0.796124,0.594446,-2.61371e-05
2=0.839669,-5.1357,0.00251295
0=-0.00363107,0.00747751,1.84102e-05
1=-0.800895,0.588077,-2.592e-05
2=0.843024,-5.13498,0.00243489
0=-0.00363107,0.00747751,1.84102e-05
1=-0.805615,0.581671,-2.57e-05
2=0.846379,-5.13425,0.00235683
0=-0.00363107,0.00747751,1.84102e-05
1=-0.810283,0.575228,-2.54772e-05
2=0.849733,-5.13353,0.00227877
0=-0.00363107,0.00747751,1.84102e-05
1=-0.814899,0.568749,-2.52516e-05
2=0.853086,-5.1328,0.00220071
0=-0.00363107,0.00747751,1.84102e-05
1=-0.819464,0.562233,-2.50231e-05
2=0.85644,-5.13207,0.00212265
0=-0.00363107,0.00747751,1.84102e-05
1=-0.823975,0.555682,-2.47919e-05
2=0.859793,-5.13134,0.00204459
0=-0.00363107,0.00747751,1.84102e-05
1=-0.828434,0.549096,-2.45579e-05
2=0.863145,-5.1306,0.00196653
0=-0.00363107,0.00747751,1.84102e-05
1=-0.832841,0.542475,-2.43211e-05
2=0.866497,-5.12987,0.00188846
0=-0.00363107,0.0074775,1.84102e-05
1=-0.837193,0.535819,-2.40816e-05
2=0.869849,-5.12913,0.0018104
0=-0.00363107,0.0074775,1.84102e-05
1=-0.841493,0.52913,-2.38393e-05
2=0.873201,-5.12839,0.00173233
0=-0.00363107,0.0074775,1.84102e-05
1=-0.845738,0.522407,-2.35944e-05
2=0.876552,-5.12764,0.00165427
0=-0.00363107,0.0074775,1.84102e-05
1=-0.84993,0.515651,-2.33467e-05
2=0.879903,-5.1269,0.0015762
0=-0.00363107,0.0074775,1.84102e-05
1=-0.854067,0.508863,-2.30964e-05
2=0.883253,-5.12615,0.00149813
0=-0.00363107,0.0074775,1.84102e-05
1=-0.85815,0.502042,-2.28434e-05
2=0.886603,-5.1254,0.00142006
0=-0.00363107,0.0074775,1.84102e-05
1=-0.862178,0.49519,-2.25878e-05
2=0.889952,-5.12464,0.001342
0=-0.00363107,0.0074775,1.84102e-05
1=-0.866151,0.488307,-2.23295e-05
2=0.893301,-5.12389,0.00126393
0=-0.00363107,0.0074775,1.84102e-05
1=-0.870069,0.481392,-2.20686e-05
2=0.89665,-5.12313,0.00118586
0=-0.00363107,0.0074775,1.84102e-05
1=-0.873932,0.474448,-2.18052e-05
2=0.899999,-5.12237,0.00110779
0=-0.00363107,0.00747749,1.84102e-05
1=-0.877738,0.467473,-2.15391e-05
2=0.903346,-5.12161,0.00102971
0=-0.00363107,0.00747749,1.84102e-05
1=-0.881489,0.460469,-2.12705e-05
2=0.906694,-5.12085,0.000951643
0=-0.00363107,0.00747749,1.84102e-05
1=-0.885183,0.453436,-2.09994e-05
2=0.910041,-5.12008,0.000873571
0=-0.00363107,0.00747749,1.84102e-05
1=-0.888821,0.446375,-2.07257e-05
2=0.913388,-5.11931,0.000795499
0=-0.00363107,0.00747749,1.84102e-05
1=-0.892403,0.439285,-2.04496e-05
2=0.916734,-5.11854,0.000717426
0=-0.00363107,0.00747749,1.84102e-05
1=-0.895928,0.432168,-2.01709e-05
2=0.92008,-5.11777,0.000639353
0=-0.00363107,0.00747749,1.84102e-05
1=-0.899395,0.425023,-1.98898e-05
2=0.923426,-5.11699,0.00056128
0=-0.00363107,0.00747749,1.84102e-05
1=-0.902806,0.417852,-1.96063e-05
2=0.926771,-5.11622,0.000483207
0=-0.00363107,0.00747749,1.84102e-05
1=-0.906158,0.410655,-1.93203e-05
2=0.930116,-5.11544,0.000405133
0=-0.00363107,0.00747749,1.84102e-05
1=-0.909454,0.403432,-1.90319e-05
2=0.93346,-5.11466,0.00032706
0=-0.00363107,0.00747748,1.84102e-05
1=-0.912691,0.396184,-1.87411e-05
2=0.936804,-5.11387,0.000248986
0=-0.00363107,0.00747748,1.84102e-05
1=-0.915871,0.388911,-1.84479e-05
2=0.940148,-5.11308,0.000170912
0=-0.00363107,0.00747748,1.84102e-05
1=-0.918992,0.381613,-1.81524e-05
2=0.943491,-5.1123,9.28377e-05
0=-0.00363107,0.00747748,1.84102e-05
1=-0.922055,0.374292,-1.78546e-05
2=0.946833,-5.11151,1.47636e-05
0=-0.00363107,0.00747748,1.84102e-05
1=-0.925059,0.366947,-1.75544e-05
2=0.950176,-5.11071,-6.33105e-05
0=-0.00363107,0.00747748,1.84102e-05
1=-0.928004,0.35958,-1.7252e-05
2=0.953518,-5.10992,-0.000141385
0=-0.00363106,0.00747748,1.84102e-05
1=-0.930891,0.352189,-1.69472e-05
2=0.956859,-5.10912,-0.000219459
0=-0.00363106,0.00747748,1.84102e-05
1=-0.933718,0.344777,-1.66403e-05
2=0.9602,-5.10832,-0.000297532
0=-0.00363106,0.00747748,1.84102e-05
1=-0.936487,0.337344,-1.6331e-05
2=0.963541,-5.10752,-0.000375606
0=-0.00363106,0.00747748,1.84102e-05
1=-0.939196,0.329889,-1.60196e-05
2=0.966881,-5.10671,-0.00045368
0=-0.00363106,0.00747747,1.84102e-05
1=-0.941845,0.322414,-1.5706e-05
2=0.970221,-5.10591,-0.000531753
0=-0.00363106,0.00747747,1.84102e-05
1=-0.944434,0.314919,-1.53902e-05
2=0.97356,-5.1051,-0.000609826
0=-0.00363106,0.00747747,1.84102e-05
1=-0.946964,0.307405,-1.50723e-05
2=0.976899,-5.10429,-0.000687899
0=-0.00363106,0.00747747,1.84102e-05
1=-0.949434,0.299871,-1.47522e-05
2=0.980237,-5.10347,-0.000765972
0=-0.00363106,0.00747747,1.84102e-05
1=-0.951844,0.292318,-1.44301e-05
2=0.983575,-5.10266,-0.000844044
0=-0.00363106,0.00747747,1.84102e-05
1=-0.954193,0.284748,-1.41058e-05
2=0.986913,-5.10184,-0.000922116
0=-0.00363106,0.00747747,1.84102e-05
1=-0.956482,0.27716,-1.37795e-05
2=0.99025,-5.10102,-0.00100019
0=-0.00363106,0.00747747,1.84102e-05
1=-0.95871,0.269555,-1.34511e-05
2=0.993587,-5.1002,-0.00107826
0=-0.00363106,0.00747747,1.84102e-05
1=-0.960878,0.261933,-1.31207e-05
2=0.996923,-5.09938,-0.00115633
0=-0.00363106,0.00747746,1.84102e-05
1=-0.962985,0.254295,-1.27883e-05
2=1.00026,-5.09855,-0.0012344
0=-0.00363106,0.00747746,1.84102e-05
1=-0.965031,0.246641,-1.2454e-05
2=1.00359,-5.09772,-0.00131247
0=-0.00363106,0.00747746,1.84102e-05
1=-0.967016,0.238972,-1.21176e-05
2=1.00693,-5.09689,-0.00139054
0=-0.00363106,0.00747746,1.84102e-05
1=-0.96894,0.231289,-1.17794e-05
2=1.01026,-5.09606,-0.0014686
0=-0.00363106,0.00747746,1.84102e-05
1=-0.970803,0.223591,-1.14392e-05
2=1.0136,-5.09522,-0.00154667
0=-0.00363106,0.00747746,1.84102e-05
1=-0.972605,0.21588,-1.10971e-05
2=1.01693,-5.09438,-0.00162474
0=-0.00363106,0.00747746,1.84102e-05
1=-0.974345,0.208155,-1.07532e-05
2=1.02026,-5.09354,-0.00170281
0=-0.00363106,0.00747746,1.84102e-05
1=-0.976024,0.200418,-1.04074e-05
2=1.0236,-5.0927,-0.00178087
0=-0.00363106,0.00747746,1.84102e-05
1=-0.977641,0.192668,-1.00598e-05
2=1.02693,-5.09186,-0.00185894
0=-0.00363106,0.00747746,1.84102e-05
1=-0.979196,0.184907,-9.71037e-06
2=1.03026,-5.09101,-0.001937
0=-0.00363106,0.00747745,1.84102e-05
1=-0.98069,0.177135,-9.35918e-06
2=1.03359,-5.09016,-0.00201506
0=-0.00363106,0.00747745,1.84102e-05
1=-0.982122,0.169351,-9.00623e-06
2=1.03692,-5.08931,-0.00209312
0=-0.00363106,0.00747745,1.84102e-05
1=-0.983492,0.161558,-8.65155e-06
2=1.04025,-5.08846,-0.00217119
0=-0.00363106,0.00747745,1.84102e-05
1=-0.9848,0.153755,-8.29517e-06
2=1.04358,-5.0876,-0.00224925
0=-0.00363106,0.00747745,1.84102e-05
1=-0.986046,0.145942,-7.93709e-06
2=1.04691,-5.08674,-0.0023273
0=-0.00363106,0.00747745,1.84102e-05
1=-0.98723,0.138121,-7.57735e-06
2=1.05024,-5.08588,-0.00240536
0=-0.00363106,0.00747745,1.84102e-05
1=-0.988352,0.130292,-7.21598e-06
2=1.05357,-5.08502,-0.00248342
0=-0.00363106,0.00747745,1.84102e-05
1=-0.989412,0.122455,-6.85298e-06
2=1.0569,-5.08416,-0.00256148
0=-0.00363106,0.00747745,1.84102e-05
1=-0.99041,0.11461,-6.48839e-06
2=1.06023,-5.08329,-0.00263953
0=-0.00363106,0.00747744,1.84102e-05
1=-0.991345,0.106759,-6.12223e-06
2=1.06356,-5.08242,-0.00271758
0=-0.00363106,0.00747744,1.84102e-05
1=-0.992218,0.0989014,-5.75453e-06
2=1.06688,-5.08155,-0.00279564
0=-0.00363106,0.00747744,1.84102e-05
1=-0.993029,0.0910382,-5.3853e-06
2=1.07021,-5.08068,-0.00287369
0=-0.00363106,0.00747744,1.84102e-05
1=-0.993777,0.0831697,-5.01458e-06
2=1.07353,-5.0798,-0.00295174
0=-0.00363106,0.00747744,1.84102e-05
1=-0.994463,0.0752964,-4.64238e-06
2=1.07686,-5.07892,-0.00302979
0=-0.00363106,0.00747744,1.84102e-05
1=-0.995087,0.0674189,-4.26873e-06
2=1.08018,-5.07804,-0.00310783
0=-0.00363106,0.00747744,1.84102e-05
